Time,Displacement,Force,Rotation,Torque
(s),(mm),(kN),(deg),(N-m)
9.04,0,0,-0.4245,0
9.06,0,0,-0.4255,0
9.08,0,0,-0.4266,0
9.1,0,0,-0.4278,0
9.12,0,0,-0.4291,0
9.14,0,0,-0.4304,0
9.16,0,0,-0.4317,-0.0001
9.18,0,0,-0.433,-0.0002
9.2,0,0,-0.4343,-0.0002
9.22,0,0,-0.4355,-0.0001
9.24,0,0,-0.4367,-0.0001
9.26,0,0,-0.4377,-0.0001
9.28,0,0,-0.4387,-0.0001
9.3,0,0,-0.4397,-0.0001
9.32,0,0,-0.4406,-0.0002
9.34,0,0,-0.4415,-0.0002
9.36,0,0,-0.4424,-0.0001
9.38,0,0,-0.4433,-0.0001
9.4,0,0,-0.4441,-0.0001
9.42,0,0,-0.445,-0.0001
9.44,0,0,-0.4459,0
9.46,0,0,-0.4468,-0.0001
9.48,0,0,-0.4477,-0.0001
9.5,0,0,-0.4486,-0.0002
9.52,0,0,-0.4496,-0.0002
9.54,0,0,-0.4505,-0.0001
9.56,0,0,-0.4515,-0.0001
9.58,0,0,-0.4525,-0.0001
9.6,0,0,-0.4535,-0.0002
9.62,0,0,-0.4545,-0.0003
9.64,0,0,-0.4555,-0.0002
9.66,0,0,-0.4565,-0.0002
9.68,0,0,-0.4575,-0.0003
9.7,0,0,-0.4585,-0.0002
9.72,0,0,-0.4594,-0.0002
9.74,0,0,-0.4603,-0.0002
9.76,0,0,-0.4613,-0.0002
9.78,0,0,-0.4622,-0.0002
9.8,0,0,-0.4632,-0.0003
9.82,0,0,-0.4641,-0.0003
9.84,0,0,-0.4651,-0.0003
9.86,0,0,-0.466,-0.0002
9.88,0,0,-0.467,-0.0002
9.9,0,0,-0.4679,-0.0002
9.92,0,0,-0.4689,-0.0002
9.94,0,0,-0.4699,-0.0003
9.96,0,0,-0.4708,-0.0003
9.98,0,0,-0.4718,-0.0003
10,0,0,-0.4728,-0.0003
10.02,0,0,-0.4737,-0.0003
10.04,0,0,-0.4747,-0.0003
10.06,0,0,-0.4756,-0.0003
10.08,0,0,-0.4766,-0.0004
10.1,0,0,-0.4775,-0.0004
10.12,0,0,-0.4785,-0.0003
10.14,0,0,-0.4795,-0.0002
10.16,0,0,-0.4805,-0.0002
10.18,0,0,-0.4814,-0.0002
10.2,0,0,-0.4824,-0.0003
10.22,0,0,-0.4834,-0.0003
10.24,0,0,-0.4843,-0.0004
10.26,0,0,-0.4853,-0.0003
10.28,0,0,-0.4862,-0.0003
10.3,0,0,-0.4872,-0.0003
10.32,0,0,-0.4881,-0.0003
10.34,0,0,-0.489,-0.0003
10.36,0,0,-0.49,-0.0003
10.38,0,0,-0.4909,-0.0003
10.4,0,0,-0.4918,-0.0003
10.42,0,0,-0.4927,-0.0004
10.44,0,0,-0.4936,-0.0004
10.46,0,0,-0.4945,-0.0004
10.48,0,0,-0.4954,-0.0004
10.5,0,0,-0.4964,-0.0004
10.52,0,0,-0.4974,-0.0005
10.54,0,0,-0.4984,-0.0004
10.56,0,0,-0.4994,-0.0003
10.58,0,0,-0.5004,-0.0004
10.6,0,0,-0.5014,-0.0004
10.62,0,0,-0.5024,-0.0004
10.64,0,0,-0.5034,-0.0004
10.66,0,0,-0.5044,-0.0005
10.68,0,0,-0.5054,-0.0006
10.7,0,0,-0.5064,-0.0005
10.72,0,0,-0.5074,-0.0004
10.74,0,0,-0.5083,-0.0004
10.76,0,0,-0.5093,-0.0004
10.78,0,0,-0.5103,-0.0005
10.8,0,0,-0.5112,-0.0005
10.82,0,0,-0.5122,-0.0005
10.84,0,0,-0.5131,-0.0005
10.86,0,0,-0.5141,-0.0005
10.88,0,0,-0.515,-0.0006
10.9,0,0,-0.516,-0.0006
10.92,0,0,-0.5169,-0.0006
10.94,0,0,-0.5179,-0.0006
10.96,0,0,-0.5188,-0.0005
10.98,0,0,-0.5198,-0.0005
11,0,0,-0.5207,-0.0005
11.02,0,0,-0.5217,-0.0006
11.04,0,0,-0.5226,-0.0005
11.06,0,0,-0.5236,-0.0005
11.08,0,0,-0.5245,-0.0006
11.1,0,0,-0.5255,-0.0006
11.12,0,0,-0.5265,-0.0006
11.14,0,0,-0.5274,-0.0006
11.16,0,0,-0.5284,-0.0006
11.18,0,0,-0.5294,-0.0007
11.2,0,0,-0.5303,-0.0006
11.22,0,0,-0.5313,-0.0006
11.24,0,0,-0.5323,-0.0006
11.26,0,0,-0.5332,-0.0005
11.28,0,0,-0.5342,-0.0005
11.3,0,0,-0.5352,-0.0006
11.32,0,0,-0.5362,-0.0006
11.34,0,0,-0.5371,-0.0007
11.36,0,0,-0.538,-0.0006
11.38,0,0,-0.539,-0.0006
11.4,0,0,-0.5399,-0.0007
11.42,0,0,-0.5408,-0.0006
11.44,0,0,-0.5418,-0.0006
11.46,0,0,-0.5427,-0.0007
11.48,0,0,-0.5437,-0.0007
11.5,0,0,-0.5446,-0.0007
11.52,0,0,-0.5456,-0.0006
11.54,0,0,-0.5466,-0.0006
11.56,0,0,-0.5476,-0.0006
11.58,0,0,-0.5485,-0.0007
11.6,0,0,-0.5495,-0.0008
11.62,0,0,-0.5506,-0.0007
11.64,0,0,-0.5516,-0.0006
11.66,0,0,-0.5526,-0.0007
11.68,0,0,-0.5536,-0.0008
11.7,0,0,-0.5546,-0.0007
11.72,0,0,-0.5556,-0.0007
11.74,0,0,-0.5565,-0.0007
11.76,0,0,-0.5575,-0.0007
11.78,0,0,-0.5585,-0.0008
11.8,0,0,-0.5594,-0.0007
11.82,0,0,-0.5603,-0.0007
11.84,0,0,-0.5613,-0.0008
11.86,0,0,-0.5622,-0.0008
11.88,0,0,-0.5631,-0.0008
11.9,0,0,-0.5641,-0.0008
11.92,0,0,-0.565,-0.0007
11.94,0,0,-0.566,-0.0007
11.96,0,0,-0.5669,-0.0007
11.98,0,0,-0.5679,-0.0007
12,0,0,-0.5689,-0.0008
12.02,0,0,-0.5698,-0.0008
12.04,0,0,-0.5707,-0.0008
12.06,0,0,-0.5717,-0.0008
12.08,0,0,-0.5726,-0.0009
12.1,0,0,-0.5736,-0.0008
12.12,0,0,-0.5745,-0.0008
12.14,0,0,-0.5754,-0.0008
12.16,0,0,-0.5764,-0.0008
12.18,0,0,-0.5774,-0.0009
12.2,0,0,-0.5783,-0.001
12.22,0,0,-0.5793,-0.0009
12.24,0,0,-0.5803,-0.0007
12.26,0,0,-0.5813,-0.0008
12.28,0,0,-0.5823,-0.0009
12.3,0,0,-0.5833,-0.0009
12.32,0,0,-0.5843,-0.0009
12.34,0,0,-0.5852,-0.0009
12.36,0,0,-0.5862,-0.0008
12.38,0,0,-0.5871,-0.0008
12.4,0,0,-0.5881,-0.0009
12.42,0,0,-0.589,-0.0008
12.44,0,0,-0.5899,-0.0009
12.46,0,0,-0.5909,-0.0009
12.48,0,0,-0.5918,-0.0009
12.5,0,0,-0.5927,-0.001
12.52,0,0,-0.5936,-0.001
12.54,0,0,-0.5945,-0.0009
12.56,0,0,-0.5954,-0.001
12.58,0,0,-0.5963,-0.001
12.6,0,0,-0.5972,-0.0009
12.62,0,0,-0.5982,-0.0009
12.64,0,0,-0.5991,-0.0009
12.66,0,0,-0.6001,-0.001
12.68,0,0,-0.6011,-0.0009
12.7,0,0,-0.602,-0.0009
12.72,0,0,-0.603,-0.0009
12.74,0,0,-0.6039,-0.0009
12.76,0,0,-0.6049,-0.001
12.78,0,0,-0.6059,-0.001
12.8,0,0,-0.6068,-0.001
12.82,0,0,-0.6077,-0.001
12.84,0,0,-0.6087,-0.001
12.86,0,0,-0.6096,-0.0009
