Time,Displacement,Force,Rotation,Torque
(s),(mm),(kN),(deg),(N-m)
13.88,0,0.0009,-0.6587,0
13.9,0,0.0009,-0.6597,0
13.92,0,0.0009,-0.6606,-0.0001
13.94,0,0.0009,-0.6615,-0.0002
13.96,0,0.0009,-0.6625,-0.0002
13.98,0,0.0009,-0.6634,-0.0001
14,0,0.0009,-0.6643,-0.0002
14.02,0,0.0009,-0.6653,-0.0001
14.04,0,0.0009,-0.6663,-0.0001
14.06,0,0.0009,-0.6672,-0.0001
14.08,0,0.0009,-0.6682,-0.0001
14.1,0,0.0009,-0.6691,-0.0001
14.12,0,0.0009,-0.6701,-0.0001
14.14,0,0.0009,-0.6711,-0.0001
14.16,0,0.0009,-0.6721,-0.0001
14.18,0,0.0009,-0.673,-0.0002
14.2,0,0.0009,-0.674,-0.0001
14.22,0,0.0009,-0.6749,-0.0001
14.24,0,0.0009,-0.6759,-0.0001
14.26,0,0.0009,-0.6768,-0.0001
14.28,0,0.0009,-0.6778,-0.0001
14.3,0,0.0009,-0.6787,-0.0002
14.32,0,0.0009,-0.6796,-0.0001
14.34,0,0.0009,-0.6806,-0.0002
14.36,0,0.0009,-0.6815,-0.0002
14.38,0,0.0009,-0.6824,-0.0002
14.4,0,0.0009,-0.6833,-0.0001
14.42,0,0.0009,-0.6842,-0.0001
14.44,0,0.0009,-0.6851,-0.0001
14.46,0,0.0009,-0.686,-0.0001
14.48,0,0.0009,-0.6869,-0.0001
14.5,0,0.0009,-0.6879,0
14.52,0,0.0009,-0.6888,-0.0001
14.54,0,0.0009,-0.6897,-0.0001
14.56,0,0.0009,-0.6906,-0.0001
14.58,0,0.0009,-0.6915,-0.0001
14.6,0,0.0009,-0.6924,-0.0001
14.62,0,0.0009,-0.6933,-0.0001
14.64,0,0.0009,-0.6942,-0.0002
14.66,0,0.0009,-0.6951,-0.0002
14.68,0,0.0009,-0.6961,-0.0001
14.7,0,0.0009,-0.697,-0.0001
14.72,0,0.0009,-0.698,-0.0001
14.74,0,0.0009,-0.6991,-0.0001
14.76,0,0.0009,-0.7001,-0.0001
14.78,0,0.0009,-0.7011,-0.0001
14.8,0,0.0009,-0.7021,-0.0002
14.82,0,0.0009,-0.7031,-0.0001
14.84,0,0.0009,-0.7041,-0.0002
14.86,0,0.0009,-0.7051,-0.0002
14.88,0,0.0009,-0.7061,-0.0002
14.9,0,0.0009,-0.7071,-0.0002
14.92,0,0.0009,-0.7081,-0.0002
14.94,0,0.0009,-0.709,-0.0002
14.96,0,0.0009,-0.7099,-0.0001
14.98,0,0.0009,-0.7108,-0.0002
15,0,0.0009,-0.7117,-0.0002
15.02,0,0.0009,-0.7127,-0.0002
